"methods_claim","evidence_source","observed_value","pass"
"GSE228848 chronic pig analysis used public processed per-sample Salmon quantification files rather than raw FASTQ re-alignment.","Step24 tximport input route and Step23 fixed quant-level QC outputs","                   metric                                                                                 value | 1            project_root                                                                   E:/R/ACLsenescence2 | 2               quant_dir                                 E:/R/ACLsenescence2/data_raw/GSE228848_synovium_quant | 3                gtf_file E:/R/ACLsenescence2/reference/Sus_scrofa_Ensembl115/Sus_scrofa.Sscrofa11.1.115.gtf.gz | 4           tximport_type                                                                                salmon | 5         ignoreTxVersion                                                                                  TRUE | 6     countsFromAbundance                                                                                    no | 7           n_quant_files                                                                                    96 | 8        n_unique_samples                                                                                    96 | 9          n_tx2gene_rows                                                                                 60440 | 10 n_gene_annotation_rows                                                                                 35682 | 11         counts_n_genes                                                                                 22438 | 12       counts_n_samples                                                                                    96 | 13      abundance_n_genes                                                                                 22438 | 14    abundance_n_samples                                                                                    96 | 15         length_n_genes                                                                                 22438 | 16       length_n_samples                                                                                    96",TRUE
"The GEO supplementary archive / quantification directory was downloaded and extracted before matrix construction.","Local quantification directory and optional GSE228848_RAW archive file audit","quant_dir_exists=TRUE; archive_exists=TRUE",TRUE
"All quant.sf-like files in the chronic quantification directory were inventoried and QC-audited.","step23_pig_chronic_quant_file_inventory_FIXED.csv and step23_pig_chronic_quant_level_QC_table_FIXED.csv","n_inventory=96; n_QC_rows=96",TRUE
"The fixed QC identified 96 readable quant.sf-like files.","step23_pig_chronic_quant_level_QC_summary_FIXED.csv / QC table","n_quant_like=96; n_readable=96; n_standard_cols=NA; transcript_counts=46295; TPM_range=999999.999867 to 1000000.00015",NA
"The 96 quantification files consisted of 48 synovium and 48 cartilage files inferred from filenames.","step23_pig_chronic_quant_level_QC_tissue_group_summary_FIXED.csv / filename inference","synovium=48; cartilage=48",TRUE
"Synovium samples were identified for chronic-stage analysis.","step25v3_pig_chronic_synovium_manifest.csv","n_synovium_manifest_rows=48",TRUE
"The synovium subset contained four groups: Control_52W, ACLT_alone_52W, Reconstruction_52W and Repair_52W.","step25v3_pig_chronic_group_summary.csv and synovium manifest core_group labels","          core_group n_samples | 1     ACLT_alone_52W        12 | 2        Control_52W        12 | 3 Reconstruction_52W        12 | 4         Repair_52W        12",TRUE
"The main chronic validation comparison was restricted to Control_52W vs ACLT_alone_52W.","step25v3_pig_chronic_main_comparison_manifest.csv","      core_group n_samples | 1 ACLT_alone_52W        12 | 2    Control_52W        12",TRUE
"The main comparison contained 24 synovium samples: 12 Control_52W and 12 ACLT_alone_52W.","step25v3_pig_chronic_main_comparison_manifest.csv","n_main=24; Control_52W=12; ACLT_alone_52W=12",TRUE
"Step 26 downstream chronic DE analysis uses the Step25v3 main-comparison files.","Step26 script inputs: step25v3 main manifest/counts/length files","See Step26 script; not re-run here.",TRUE
